BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
25 : 0 : 0
29 : 478028 : 0
62 : 478028 : 29
53 : 1188686 : 29
113 : 1188686 : 53
119 : 2228954 : 53
180 : 2228954 : 119
169 : 2323821 : 119
217 : 2323821 : 169
231 : 2392861 : 169
280 : 2392861 : 231
252 : 2789438 : 231
330 : 2789438 : 252
317 : 4255437 : 252
380 : 4255437 : 317
391 : 4410091 : 317
427 : 4410091 : 391
419 : 5356028 : 391
477 : 5356028 : 419
466 : 5463545 : 419
526 : 5463545 : 466
508 : 6667091 : 466
577 : 6667091 : 508
595 : 8224810 : 508
630 : 8224810 : 595
606 : 8341986 : 595
680 : 8341986 : 606
654 : 8500570 : 606
730 : 8500570 : 654
706 : 8538029 : 654
780 : 8538029 : 706
769 : 8751753 : 706
818 : 8751753 : 769
819 : 8995613 : 769
880 : 8995613 : 819
859 : 10053931 : 819
930 : 10053931 : 859
916 : 10143896 : 859
980 : 10143896 : 916
984 : 14891156 : 916
1020 : 14891156 : 984
1017 : 17057887 : 984
1058 : 17057887 : 1017
1094 : 20593988 : 1017
1131 : 20593988 : 1094
1134 : 21048147 : 1094
1164 : 21048147 : 1134
1201 : 22022799 : 1134
1231 : 22022799 : 1201
1218 : 22883781 : 1201
1279 : 22883781 : 1218
1267 : 24397363 : 1218
1313 : 24397363 : 1267
1345 : 26939278 : 1267
1382 : 26939278 : 1345
1381 : 27307535 : 1345
1406 : 27307535 : 1381
1437 : 27345345 : 1381
1477 : 27345345 : 1437
1475 : 27685571 : 1437
1488 : 30262047 : 1437
1530 : 30262047 : 1488
1546 : 31047986 : 1488
1577 : 31047986 : 1546
1575 : 32853093 : 1546
1583 : 38483133 : 1546
1628 : 38483133 : 1583
1603 : 38790454 : 1575
1618 : 45056824 : 1583
1685 : 45056824 : 1618
1679 : 53977847 : 1618
1682 : 54088273 : 1618
1714 : 54124041 : 1682
1673 : 56021884 : 1618
1738 : 56021884 : 1673
1715 : 58507270 : 1714
1737 : 58808561 : 1673
1743 : 58924602 : 1673
1783 : 58924602 : 1743
1794 : 67442408 : 1743
1836 : 67442408 : 1794
1760 : 71867967 : 1715
1833 : 73835392 : 1794
1870 : 73835392 : 1833
1858 : 76312618 : 1760
1882 : 76976467 : 1833
1928 : 76976467 : 1882
1940 : 78040097 : 1882
1982 : 78040097 : 1940
1999 : 82275967 : 1940
2031 : 82275967 : 1999
2018 : 84395528 : 1999
2079 : 84395528 : 2018
2078 : 89374185 : 2018
2077 : 90455658 : 2018
2108 : 99666435 : 2078
2059 : 102601951 : 2018
2144 : 102601951 : 2059
2121 : 105241068 : 2108
2110 : 110476375 : 2077
2163 : 113361973 : 2121
2179 : 115578618 : 2163
2175 : 120886709 : 2110
2193 : 122689458 : 2175
2196 : 131870209 : 2193
2131 : 132835246 : 2059
2226 : 132835246 : 2131
2235 : 135584006 : 2131
2259 : 135584006 : 2235
2285 : 146259333 : 2259
