BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
28 : 0 : 0
29 : 477657 : 0
54 : 477657 : 29
53 : 1188209 : 29
103 : 1188209 : 53
119 : 2228506 : 53
173 : 2228506 : 119
169 : 2323383 : 119
206 : 2323383 : 169
231 : 2392359 : 169
273 : 2392359 : 231
252 : 2788951 : 231
323 : 2788951 : 252
317 : 4254933 : 252
366 : 4254933 : 317
391 : 4410353 : 317
429 : 4410353 : 391
419 : 5356272 : 391
479 : 5356272 : 419
466 : 5463789 : 419
529 : 5463789 : 466
508 : 6667326 : 466
579 : 6667326 : 508
595 : 8224339 : 508
623 : 8224339 : 595
606 : 8341535 : 595
673 : 8341535 : 606
654 : 8500131 : 606
723 : 8500131 : 654
706 : 8537600 : 654
773 : 8537600 : 706
769 : 8751323 : 706
806 : 8751323 : 769
819 : 8995168 : 769
872 : 8995168 : 819
859 : 10053491 : 819
923 : 10053491 : 859
916 : 10143430 : 859
973 : 10143430 : 916
984 : 14891403 : 916
1025 : 14891403 : 984
1017 : 17057872 : 984
1057 : 17057872 : 1017
1094 : 20593508 : 1017
1124 : 20593508 : 1094
1134 : 21048387 : 1094
1169 : 21048387 : 1134
1201 : 22022333 : 1134
1224 : 22022333 : 1201
1218 : 22883296 : 1201
1267 : 22883296 : 1218
1303 : 24396938 : 1267
1354 : 25613229 : 1303
1345 : 26939537 : 1267
1384 : 27072937 : 1345
1381 : 27307774 : 1345
1411 : 27307774 : 1381
1437 : 27345595 : 1381
1479 : 27345595 : 1437
1475 : 27686211 : 1437
1488 : 30261604 : 1437
1518 : 30261604 : 1488
1546 : 31048233 : 1488
1579 : 31048233 : 1546
1602 : 31837570 : 1579
1575 : 32853354 : 1546
1612 : 37336447 : 1602
1583 : 38482670 : 1546
1603 : 38790578 : 1575
1625 : 40577595 : 1583
1618 : 45056294 : 1583
1706 : 46164412 : 1612
1679 : 53979393 : 1618
1682 : 54090032 : 1618
1714 : 54125811 : 1682
1673 : 56021436 : 1618
1715 : 58508756 : 1714
1737 : 58809704 : 1673
1743 : 58924850 : 1673
1786 : 58924850 : 1743
1806 : 59964192 : 1786
1794 : 67441963 : 1743
1855 : 69576147 : 1806
1760 : 71868564 : 1715
1833 : 73834989 : 1794
1863 : 74154058 : 1833
1858 : 76314135 : 1760
1882 : 76976708 : 1833
1934 : 76976708 : 1882
1940 : 78039616 : 1882
1968 : 78039616 : 1940
1999 : 82276234 : 1940
2033 : 82276234 : 1999
2018 : 84395782 : 1999
2081 : 84395782 : 2018
2104 : 86709518 : 2081
2078 : 89375559 : 2018
2077 : 90456665 : 2018
2108 : 99667392 : 2078
2059 : 102602199 : 2018
2121 : 105242316 : 2108
2110 : 110477879 : 2077
2163 : 113362741 : 2121
2179 : 115579697 : 2163
2175 : 120888215 : 2110
2193 : 122690790 : 2175
2146 : 131787092 : 2059
2196 : 131870333 : 2193
2131 : 132835495 : 2059
2227 : 132835495 : 2131
2235 : 135583579 : 2131
2254 : 135583579 : 2235
2253 : 141750014 : 2235
2259 : 146259955 : 2235
2289 : 146259955 : 2259
2291 : 148584172 : 2259
