BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
42 : 0 : 0
29 : 478485 : 0
74 : 478485 : 29
53 : 1188923 : 29
120 : 1188923 : 53
119 : 2227776 : 53
155 : 2227776 : 119
169 : 2323879 : 119
219 : 2323879 : 169
231 : 2391552 : 169
263 : 2391552 : 231
252 : 2788240 : 231
314 : 2788240 : 252
317 : 4254718 : 252
360 : 4254718 : 317
391 : 4411245 : 317
442 : 4411245 : 391
419 : 5357120 : 391
491 : 5357120 : 419
466 : 5464575 : 419
540 : 5464575 : 466
508 : 6668194 : 466
591 : 6668194 : 508
595 : 8223636 : 508
613 : 8223636 : 595
606 : 8340912 : 595
663 : 8340912 : 606
654 : 8499404 : 606
713 : 8499404 : 654
706 : 8536886 : 654
756 : 8536886 : 706
769 : 8751762 : 706
819 : 8751762 : 769
852 : 8994282 : 819
859 : 10052806 : 819
907 : 10052806 : 859
916 : 10142752 : 859
963 : 10142752 : 916
984 : 14892244 : 916
1041 : 14892244 : 984
1017 : 17058707 : 984
1078 : 17058707 : 1017
1094 : 20592832 : 1017
1114 : 20592832 : 1094
1134 : 21049263 : 1094
1191 : 21049263 : 1134
1201 : 22021625 : 1134
1214 : 22021625 : 1201
1218 : 22883049 : 1201
1259 : 22883049 : 1218
1267 : 24397801 : 1218
1323 : 24397801 : 1267
1345 : 26940325 : 1267
1394 : 26940325 : 1345
1381 : 27308618 : 1345
1433 : 27308618 : 1381
1437 : 27346408 : 1381
1491 : 27346408 : 1437
1488 : 30261332 : 1437
1511 : 30261332 : 1488
1546 : 31049033 : 1488
1590 : 31049033 : 1546
1609 : 36033985 : 1590
1583 : 38483074 : 1546
1618 : 45056085 : 1583
1670 : 45056085 : 1618
1710 : 49257843 : 1670
1673 : 56020883 : 1618
1743 : 58925733 : 1673
1797 : 58925733 : 1743
1799 : 59343082 : 1743
1794 : 67441700 : 1743
1821 : 67441700 : 1794
1857 : 71068811 : 1821
1833 : 73835721 : 1794
1883 : 76133495 : 1833
1907 : 76300195 : 1883
1910 : 76558914 : 1857
1882 : 76977515 : 1833
1940 : 78039406 : 1882
1962 : 78039406 : 1940
1999 : 82277029 : 1940
2042 : 82277029 : 1999
2018 : 84396596 : 1999
2090 : 84396596 : 2018
2059 : 102603027 : 2018
2152 : 102603027 : 2059
2154 : 111441232 : 2059
2191 : 119553398 : 2152
2194 : 121357037 : 2191
2197 : 122847281 : 2194
2131 : 132836303 : 2059
2176 : 134582935 : 2154
2235 : 135582925 : 2131
2281 : 142408560 : 2197
2259 : 146260859 : 2235
