BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
17 : 0 : 0
29 : 478752 : 0
79 : 478752 : 29
53 : 1189439 : 29
131 : 1189439 : 53
119 : 2229703 : 53
186 : 2229703 : 119
169 : 2324572 : 119
235 : 2324572 : 169
231 : 2393607 : 169
286 : 2393607 : 231
252 : 2790189 : 231
336 : 2790189 : 252
317 : 4256187 : 252
386 : 4256187 : 317
391 : 4408761 : 317
408 : 4408761 : 391
419 : 5354677 : 391
466 : 5354677 : 419
502 : 5462189 : 466
508 : 6665735 : 466
561 : 6665735 : 508
595 : 8225560 : 508
636 : 8225560 : 595
606 : 8342735 : 595
686 : 8342735 : 606
654 : 8501320 : 606
736 : 8501320 : 654
706 : 8538779 : 654
786 : 8538779 : 706
769 : 8752506 : 706
835 : 8752506 : 769
819 : 8996360 : 769
886 : 8996360 : 819
859 : 10054683 : 819
936 : 10054683 : 859
916 : 10144648 : 859
986 : 10144648 : 916
984 : 14890566 : 916
1009 : 14890566 : 984
1017 : 17058544 : 984
1072 : 17058544 : 1017
1094 : 20594737 : 1017
1137 : 20594737 : 1094
1134 : 21048098 : 1094
1161 : 21048098 : 1134
1201 : 22023552 : 1134
1237 : 22023552 : 1201
1218 : 22884531 : 1201
1286 : 22884531 : 1218
1267 : 24398114 : 1218
1330 : 24398114 : 1267
1345 : 26937927 : 1267
1372 : 26937927 : 1345
1381 : 27308259 : 1345
1420 : 27308259 : 1381
1437 : 27343993 : 1381
1466 : 27343993 : 1437
1488 : 30262794 : 1437
1537 : 30262794 : 1488
1546 : 31046633 : 1488
1567 : 31046633 : 1546
1583 : 38483880 : 1546
1641 : 38483880 : 1583
1618 : 45057546 : 1583
1689 : 45057546 : 1618
1673 : 56022633 : 1618
1743 : 56022633 : 1673
1762 : 58923250 : 1743
1794 : 67443159 : 1743
1843 : 67443159 : 1794
1833 : 73836116 : 1794
1884 : 73836116 : 1833
1882 : 76975611 : 1833
1915 : 76975611 : 1882
1940 : 78040846 : 1882
1988 : 78040846 : 1940
1999 : 82274606 : 1940
2021 : 82274606 : 1999
2018 : 84394194 : 1999
2061 : 84394194 : 2018
2059 : 102600590 : 2018
2136 : 102600590 : 2059
2131 : 132833893 : 2059
2220 : 132833893 : 2131
2235 : 135584754 : 2131
2264 : 135584754 : 2235
2259 : 146260421 : 2235
2295 : 146260421 : 2259
