BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
7 : 0 : 0
29 : 479740 : 0
96 : 479740 : 29
53 : 1190438 : 29
146 : 1190438 : 53
119 : 2230666 : 53
196 : 2230666 : 119
169 : 2325531 : 119
246 : 2325531 : 169
231 : 2394522 : 169
296 : 2394522 : 231
252 : 2791168 : 231
346 : 2791168 : 252
317 : 4257127 : 252
396 : 4257127 : 317
391 : 4409126 : 317
415 : 4409126 : 391
419 : 5353401 : 391
456 : 5353401 : 419
466 : 5463159 : 419
517 : 5463159 : 466
508 : 6665683 : 466
560 : 6665683 : 508
595 : 8226475 : 508
646 : 8226475 : 595
606 : 8343640 : 595
696 : 8343640 : 606
654 : 8502295 : 606
746 : 8502295 : 654
706 : 8539701 : 654
796 : 8539701 : 706
769 : 8753497 : 706
846 : 8753497 : 769
819 : 8997268 : 769
896 : 8997268 : 819
859 : 10055591 : 819
946 : 10055591 : 859
916 : 10145589 : 859
996 : 10145589 : 916
984 : 14891567 : 916
1027 : 14891567 : 984
1017 : 17059515 : 984
1096 : 17059515 : 1017
1094 : 20595725 : 1017
1146 : 20595725 : 1094
1134 : 21048982 : 1094
1180 : 21048982 : 1134
1201 : 22024503 : 1134
1246 : 22024503 : 1201
1218 : 22885429 : 1201
1296 : 22885429 : 1218
1267 : 24399023 : 1218
1346 : 24399023 : 1267
1345 : 26936988 : 1267
1361 : 26936988 : 1345
1381 : 27309194 : 1345
1445 : 27309194 : 1381
1437 : 27343237 : 1381
1457 : 27343237 : 1437
1452 : 28689250 : 1437
1488 : 30263730 : 1437
1546 : 30263730 : 1488
1552 : 31045207 : 1546
1557 : 35664416 : 1546
1583 : 38484864 : 1546
1649 : 38484864 : 1583
1618 : 45058501 : 1583
1697 : 45058501 : 1618
1704 : 45907038 : 1697
1693 : 55544571 : 1618
1673 : 56023563 : 1618
1743 : 58924245 : 1673
1776 : 58924245 : 1743
1775 : 63025762 : 1743
1807 : 65870296 : 1775
1813 : 65934974 : 1776
1794 : 67444060 : 1743
1833 : 73837053 : 1794
1897 : 73837053 : 1833
1882 : 76976492 : 1833
1929 : 76976492 : 1882
1923 : 77522719 : 1882
1940 : 78041779 : 1882
1996 : 78041779 : 1940
2003 : 79840739 : 1996
1999 : 82273344 : 1940
2018 : 84394544 : 1999
2067 : 84394544 : 2018
2064 : 101399700 : 2018
2059 : 102599914 : 2018
2128 : 102599914 : 2059
2167 : 106821449 : 2128
2123 : 109710973 : 2064
2174 : 116493191 : 2123
2127 : 118195639 : 2059
2131 : 132832924 : 2059
2235 : 135585715 : 2131
2271 : 135585715 : 2235
2269 : 140754568 : 2235
2259 : 146261409 : 2235
2313 : 146261409 : 2259
2320 : 146845465 : 2313
2309 : 148175296 : 2259
2323 : 148206650 : 2320
