BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 0 : 0
29 : 478111 : 0
64 : 478111 : 29
53 : 1188799 : 29
117 : 1188799 : 53
119 : 2229061 : 53
181 : 2229061 : 119
169 : 2323930 : 119
222 : 2323930 : 169
231 : 2392967 : 169
281 : 2392967 : 231
252 : 2789547 : 231
331 : 2789547 : 252
317 : 4255547 : 252
381 : 4255547 : 317
391 : 4409281 : 317
417 : 4409281 : 391
419 : 5355219 : 391
471 : 5355219 : 419
466 : 5462732 : 419
511 : 5462732 : 466
508 : 6666280 : 466
571 : 6666280 : 508
595 : 8224919 : 508
631 : 8224919 : 595
606 : 8342094 : 595
681 : 8342094 : 606
654 : 8500680 : 606
731 : 8500680 : 654
706 : 8538137 : 654
781 : 8538137 : 706
769 : 8751864 : 706
822 : 8751864 : 769
819 : 8995719 : 769
881 : 8995719 : 819
859 : 10054043 : 819
931 : 10054043 : 859
916 : 10144007 : 859
981 : 10144007 : 916
984 : 14890370 : 916
1007 : 14890370 : 984
1017 : 17057903 : 984
1059 : 17057903 : 1017
1094 : 20594095 : 1017
1132 : 20594095 : 1094
1134 : 21047464 : 1094
1153 : 21047464 : 1134
1201 : 22022911 : 1134
1232 : 22022911 : 1201
1218 : 22883891 : 1201
1281 : 22883891 : 1218
1267 : 24397473 : 1218
1315 : 24397473 : 1267
1345 : 26938469 : 1267
1376 : 26938469 : 1345
1381 : 27307619 : 1345
1407 : 27307619 : 1381
1437 : 27344536 : 1381
1471 : 27344536 : 1437
1488 : 30262154 : 1437
1532 : 30262154 : 1488
1546 : 31047175 : 1488
1571 : 31047175 : 1546
1583 : 38483240 : 1546
1630 : 38483240 : 1583
1633 : 42779627 : 1583
1636 : 44555897 : 1583
1618 : 45056906 : 1583
1686 : 45056906 : 1618
1659 : 47479374 : 1633
1673 : 56021993 : 1618
1739 : 56021993 : 1673
1743 : 58923793 : 1673
1770 : 58923793 : 1743
1794 : 67442518 : 1743
1838 : 67442518 : 1794
1841 : 72480005 : 1794
1833 : 73835476 : 1794
1872 : 73835476 : 1833
1879 : 74053155 : 1833
1882 : 76975725 : 1833
1919 : 76975725 : 1882
1940 : 78040206 : 1882
1983 : 78040206 : 1940
1999 : 82275148 : 1940
2025 : 82275148 : 1999
2018 : 84394718 : 1999
2069 : 84394718 : 2018
2066 : 89390885 : 2018
2059 : 102601138 : 2018
2140 : 102601138 : 2059
2109 : 116091386 : 2066
2183 : 117154263 : 2109
2141 : 119226507 : 2059
2131 : 132834435 : 2059
2223 : 132834435 : 2131
2187 : 133946562 : 2183
2235 : 135584114 : 2131
2260 : 135584114 : 2235
2262 : 140387346 : 2235
2278 : 142442311 : 2262
2237 : 143951687 : 2187
2259 : 146259781 : 2235
2288 : 146259781 : 2259
