BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 922134 : 0
93 : 1104427 : 21
121 : 2081068 : 93
155 : 2228275 : 121
247 : 3261838 : 155
280 : 3353930 : 247
305 : 4632109 : 280
366 : 4921333 : 305
410 : 5302369 : 366
488 : 5538149 : 410
534 : 5782281 : 488
548 : 5783209 : 488
589 : 7940472 : 534
622 : 8367363 : 589
656 : 9046208 : 622
719 : 9429757 : 656
787 : 9551946 : 719
816 : 9757492 : 787
891 : 10503049 : 816
904 : 11221959 : 891
984 : 13745956 : 904
1030 : 14881417 : 984
1065 : 15012708 : 1030
1151 : 15531865 : 1065
1175 : 16254537 : 1151
1216 : 17016166 : 1175
1258 : 17297077 : 1216
1330 : 18711606 : 1258
1379 : 19139038 : 1330
1414 : 20779762 : 1379
1475 : 22476216 : 1414
1523 : 22588422 : 1475
1573 : 23060132 : 1523
1651 : 23083231 : 1573
1656 : 23162019 : 1651
1710 : 23705249 : 1656
1762 : 24223459 : 1710
1810 : 24414775 : 1762
1888 : 24466509 : 1810
1905 : 24558130 : 1888
1978 : 25095275 : 1905
2021 : 26241133 : 1978
2074 : 26436288 : 2021
2136 : 26756433 : 2074
2198 : 27535614 : 2136
2222 : 27781101 : 2198
2252 : 29230207 : 2222
2330 : 29396052 : 2252
2362 : 29455549 : 2330
2440 : 29665030 : 2362
2486 : 30103013 : 2440
2544 : 31171389 : 2486
2592 : 31408813 : 2544
2632 : 31476033 : 2592
2664 : 32714823 : 2632
2724 : 33287625 : 2664
2795 : 33635417 : 2724
2838 : 34867545 : 2795
2894 : 35188335 : 2838
2938 : 36325835 : 2894
3001 : 37337473 : 2938
3048 : 37807373 : 3001
3074 : 38438002 : 3048
3141 : 38515299 : 3074
3156 : 38661403 : 3141
3230 : 38863171 : 3156
3268 : 39724607 : 3230
3322 : 40119564 : 3268
3352 : 40476014 : 3322
3417 : 40691873 : 3352
3497 : 41852250 : 3417
3511 : 41946993 : 3497
3563 : 43733954 : 3511
3641 : 44318152 : 3563
3687 : 45028109 : 3641
3730 : 45063866 : 3687
3786 : 45670175 : 3730
3846 : 45817014 : 3786
3886 : 46455950 : 3846
3945 : 46470361 : 3886
3963 : 46626637 : 3945
4028 : 46740815 : 3963
4055 : 46845910 : 4028
4141 : 47828957 : 4055
4197 : 48218681 : 4141
4231 : 48670574 : 4197
4266 : 49443553 : 4231
4316 : 49732031 : 4266
4355 : 49945179 : 4316
4411 : 50673158 : 4355
4500 : 50811800 : 4411
4531 : 52493046 : 4500
4580 : 53967282 : 4531
4605 : 54959437 : 4580
4669 : 55248809 : 4605
4726 : 55592886 : 4669
4797 : 55913012 : 4726
4813 : 56277183 : 4797
4875 : 56729520 : 4813
4917 : 57024015 : 4875
4997 : 57763637 : 4917
5035 : 58545289 : 4997
5072 : 59382073 : 5035
