BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 921718 : 0
93 : 1104735 : 21
121 : 2080622 : 93
155 : 2227846 : 121
247 : 3261366 : 155
280 : 3353492 : 247
305 : 4631700 : 280
366 : 4920842 : 305
410 : 5301947 : 366
488 : 5538486 : 410
534 : 5781872 : 488
548 : 5782764 : 488
589 : 7940826 : 534
622 : 8366925 : 589
656 : 9045985 : 622
719 : 9430069 : 656
787 : 9551532 : 719
816 : 9757074 : 787
891 : 10503174 : 816
904 : 11222332 : 891
984 : 13745545 : 904
1030 : 14881006 : 984
1065 : 15012307 : 1030
1151 : 15532266 : 1065
1175 : 16254130 : 1151
1216 : 17015696 : 1175
1258 : 17296677 : 1216
1330 : 18711923 : 1258
1379 : 19138620 : 1330
1414 : 20779309 : 1379
1475 : 22476539 : 1414
1523 : 22587978 : 1475
1573 : 23060202 : 1523
1651 : 23082802 : 1573
1656 : 23161615 : 1651
1710 : 23704771 : 1656
1762 : 24223016 : 1710
1810 : 24414349 : 1762
1888 : 24466607 : 1810
1905 : 24558226 : 1888
1978 : 25094769 : 1905
2021 : 26240923 : 1978
2074 : 26436634 : 2021
2136 : 26756008 : 2074
2198 : 27535980 : 2136
2222 : 27780677 : 2198
2252 : 29229784 : 2222
2330 : 29395635 : 2252
2362 : 29455110 : 2330
2440 : 29664567 : 2362
2486 : 30102807 : 2440
2544 : 31170962 : 2486
2592 : 31409151 : 2544
2632 : 31475630 : 2592
2664 : 32714383 : 2632
2724 : 33287187 : 2664
2795 : 33634955 : 2724
2838 : 34867620 : 2795
2894 : 35187886 : 2838
2938 : 36325888 : 2894
3001 : 37337007 : 2938
3048 : 37807705 : 3001
3074 : 38437547 : 3048
3141 : 38514880 : 3074
3156 : 38660999 : 3141
3230 : 38862729 : 3156
3268 : 39724931 : 3230
3322 : 40119142 : 3268
3352 : 40475578 : 3322
3417 : 40692224 : 3352
3497 : 41851755 : 3417
3511 : 41946562 : 3497
3563 : 43733531 : 3511
3641 : 44318227 : 3563
3687 : 45027668 : 3641
3730 : 45063446 : 3687
3786 : 45669668 : 3730
3846 : 45817354 : 3786
3886 : 46455443 : 3846
3945 : 46470683 : 3886
3963 : 46626738 : 3945
4028 : 46740406 : 3963
4055 : 46845478 : 4028
4141 : 47829289 : 4055
4197 : 48218273 : 4141
4231 : 48670149 : 4197
4266 : 49443132 : 4231
4316 : 49731617 : 4266
4355 : 49944767 : 4316
4411 : 50672747 : 4355
4500 : 50812133 : 4411
4531 : 52492624 : 4500
4580 : 53967368 : 4531
4605 : 54959540 : 4580
4669 : 55248334 : 4605
4726 : 55593220 : 4669
4797 : 55912586 : 4726
4813 : 56276758 : 4797
4875 : 56729090 : 4813
4917 : 57023574 : 4875
4997 : 57763968 : 4917
5035 : 58544835 : 4997
5072 : 59381627 : 5035
