BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 922383 : 0
93 : 1104223 : 21
121 : 2081301 : 93
155 : 2228522 : 121
247 : 3262074 : 155
280 : 3354156 : 247
305 : 4632335 : 280
366 : 4921549 : 305
410 : 5302605 : 366
488 : 5538232 : 410
534 : 5782522 : 488
548 : 5783442 : 488
589 : 7940698 : 534
622 : 8367598 : 589
656 : 9046439 : 622
719 : 9429798 : 656
787 : 9552182 : 719
816 : 9757739 : 787
891 : 10503282 : 816
904 : 11222223 : 891
984 : 13746196 : 904
1030 : 14881660 : 984
1065 : 15012940 : 1030
1151 : 15531936 : 1065
1175 : 16254770 : 1151
1216 : 17016354 : 1175
1258 : 17297305 : 1216
1330 : 18711670 : 1258
1379 : 19139278 : 1330
1414 : 20779978 : 1379
1475 : 22476265 : 1414
1523 : 22588655 : 1475
1573 : 23060369 : 1523
1651 : 23083464 : 1573
1656 : 23162266 : 1651
1710 : 23705453 : 1656
1762 : 24223683 : 1710
1810 : 24415010 : 1762
1888 : 24466742 : 1810
1905 : 24558379 : 1888
1978 : 25095492 : 1905
2021 : 26241368 : 1978
2074 : 26436328 : 2021
2136 : 26756665 : 2074
2198 : 27535700 : 2136
2222 : 27781339 : 2198
2252 : 29230443 : 2222
2330 : 29396306 : 2252
2362 : 29455767 : 2330
2440 : 29665253 : 2362
2486 : 30103250 : 2440
2544 : 31171626 : 2486
2592 : 31408803 : 2544
2632 : 31476270 : 2592
2664 : 32715049 : 2632
2724 : 33287857 : 2664
2795 : 33635645 : 2724
2838 : 34867773 : 2795
2894 : 35188569 : 2838
2938 : 36326056 : 2894
3001 : 37337695 : 2938
3048 : 37807438 : 3001
3074 : 38438230 : 3048
3141 : 38515551 : 3074
3156 : 38661655 : 3141
3230 : 38863400 : 3156
3268 : 39724848 : 3230
3322 : 40119797 : 3268
3352 : 40476258 : 3322
3417 : 40692184 : 3352
3497 : 41852439 : 3417
3511 : 41947241 : 3497
3563 : 43734199 : 3511
3641 : 44318358 : 3563
3687 : 45028338 : 3641
3730 : 45064097 : 3687
3786 : 45670403 : 3730
3846 : 45816800 : 3786
3886 : 46456171 : 3846
3945 : 46470435 : 3886
3963 : 46626880 : 3945
4028 : 46741051 : 3963
4055 : 46846144 : 4028
4141 : 47829046 : 4055
4197 : 48218928 : 4141
4231 : 48670821 : 4197
4266 : 49443794 : 4231
4316 : 49732263 : 4266
4355 : 49945429 : 4316
4411 : 50673395 : 4355
4500 : 50811871 : 4411
4531 : 52493281 : 4500
4580 : 53967518 : 4531
4605 : 54959666 : 4580
4669 : 55249040 : 4605
4726 : 55592974 : 4669
4797 : 55913251 : 4726
4813 : 56277415 : 4797
4875 : 56729758 : 4813
4917 : 57024252 : 4875
4997 : 57763629 : 4917
5035 : 58545532 : 4997
5072 : 59382301 : 5035
