BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 922564 : 0
93 : 1104623 : 21
121 : 2081506 : 93
155 : 2228837 : 121
247 : 3262274 : 155
280 : 3354405 : 247
305 : 4632569 : 280
366 : 4921815 : 305
410 : 5302839 : 366
488 : 5538000 : 410
534 : 5782774 : 488
548 : 5783717 : 488
589 : 7940940 : 534
622 : 8367824 : 589
656 : 9046692 : 622
719 : 9430205 : 656
787 : 9552433 : 719
816 : 9757943 : 787
891 : 10503511 : 816
904 : 11222424 : 891
984 : 13746459 : 904
1030 : 14881882 : 984
1065 : 15013162 : 1030
1151 : 15531876 : 1065
1175 : 16255023 : 1151
1216 : 17016615 : 1175
1258 : 17297569 : 1216
1330 : 18712076 : 1258
1379 : 19139507 : 1330
1414 : 20780187 : 1379
1475 : 22476682 : 1414
1523 : 22588919 : 1475
1573 : 23060610 : 1523
1651 : 23083735 : 1573
1656 : 23162504 : 1651
1710 : 23705694 : 1656
1762 : 24223918 : 1710
1810 : 24415212 : 1762
1888 : 24466998 : 1810
1905 : 24558579 : 1888
1978 : 25095714 : 1905
2021 : 26241616 : 1978
2074 : 26435791 : 2021
2136 : 26756982 : 2074
2198 : 27535465 : 2136
2222 : 27781568 : 2198
2252 : 29230753 : 2222
2330 : 29396583 : 2252
2362 : 29456030 : 2330
2440 : 29665467 : 2362
2486 : 30103476 : 2440
2544 : 31171888 : 2486
2592 : 31409217 : 2544
2632 : 31476467 : 2592
2664 : 32715277 : 2632
2724 : 33288133 : 2664
2795 : 33635991 : 2724
2838 : 34868132 : 2795
2894 : 35188841 : 2838
2938 : 36326297 : 2894
3001 : 37337967 : 2938
3048 : 37807208 : 3001
3074 : 38438485 : 3048
3141 : 38515744 : 3074
3156 : 38661891 : 3141
3230 : 38863608 : 3156
3268 : 39725057 : 3230
3322 : 40120013 : 3268
3352 : 40476578 : 3322
3417 : 40692362 : 3352
3497 : 41852683 : 3417
3511 : 41947440 : 3497
3563 : 43734413 : 3511
3641 : 44318679 : 3563
3687 : 45028538 : 3641
3730 : 45064345 : 3687
3786 : 45670658 : 3730
3846 : 45817221 : 3786
3886 : 46456410 : 3846
3945 : 46470397 : 3886
3963 : 46627149 : 3945
4028 : 46741319 : 3963
4055 : 46846339 : 4028
4141 : 47828506 : 4055
4197 : 48219131 : 4141
4231 : 48671068 : 4197
4266 : 49444140 : 4231
4316 : 49732505 : 4266
4355 : 49945623 : 4316
4411 : 50673646 : 4355
4500 : 50811333 : 4411
4531 : 52493540 : 4500
4580 : 53967799 : 4531
4605 : 54959936 : 4580
4669 : 55249278 : 4605
4726 : 55593127 : 4669
4797 : 55913489 : 4726
4813 : 56277655 : 4797
4875 : 56729985 : 4813
4917 : 57024531 : 4875
4997 : 57763265 : 4917
5035 : 58545785 : 4997
5072 : 59382571 : 5035
