BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 922014 : 0
93 : 1106819 : 21
121 : 2082130 : 93
155 : 2228860 : 121
247 : 3259462 : 155
280 : 3354901 : 247
305 : 4632625 : 280
366 : 4921141 : 305
410 : 5302871 : 366
488 : 5540527 : 410
548 : 5780921 : 488
534 : 5781202 : 488
589 : 7942851 : 534
622 : 8368548 : 589
656 : 9047747 : 622
719 : 9432299 : 656
787 : 9550808 : 719
816 : 9755276 : 787
891 : 10505298 : 816
904 : 11224387 : 891
984 : 13745836 : 904
1030 : 14879403 : 984
1065 : 15011605 : 1030
1151 : 15534301 : 1065
1175 : 16255045 : 1151
1216 : 17015951 : 1175
1258 : 17297695 : 1216
1330 : 18713947 : 1258
1379 : 19139018 : 1330
1414 : 20780783 : 1379
1475 : 22478661 : 1414
1523 : 22588919 : 1475
1573 : 23062221 : 1523
1651 : 23081004 : 1573
1656 : 23159761 : 1651
1710 : 23702885 : 1656
1762 : 24222094 : 1710
1810 : 24412561 : 1762
1888 : 24468738 : 1810
1905 : 24560329 : 1888
1978 : 25095713 : 1905
2021 : 26242929 : 1978
2074 : 26438651 : 2021
2136 : 26755222 : 2074
2198 : 27538011 : 2136
2222 : 27782322 : 2198
2252 : 29231389 : 2222
2330 : 29395019 : 2252
2362 : 29455419 : 2330
2440 : 29662757 : 2362
2486 : 30104842 : 2440
2544 : 31169080 : 2486
2592 : 31411181 : 2544
2632 : 31475526 : 2592
2664 : 32713153 : 2632
2724 : 33287477 : 2664
2795 : 33633053 : 2724
2838 : 34869720 : 2795
2894 : 35186108 : 2838
2938 : 36327950 : 2894
3001 : 37335154 : 2938
3048 : 37809801 : 3001
3074 : 38439201 : 3048
3141 : 38513571 : 3074
3156 : 38659934 : 3141
3230 : 38864252 : 3156
3268 : 39726959 : 3230
3322 : 40120792 : 3268
3352 : 40477215 : 3322
3417 : 40694360 : 3352
3497 : 41849961 : 3417
3511 : 41945253 : 3497
3563 : 43732796 : 3511
3641 : 44320236 : 3563
3687 : 45027030 : 3641
3730 : 45065054 : 3687
3786 : 45668952 : 3730
3846 : 45819418 : 3786
3886 : 46454674 : 3846
3945 : 46472704 : 3886
3963 : 46628787 : 3945
4028 : 46741397 : 3963
4055 : 46846289 : 4028
4141 : 47831338 : 4055
4197 : 48216413 : 4141
4231 : 48671841 : 4197
4266 : 49444075 : 4231
4316 : 49731848 : 4266
4355 : 49944636 : 4316
4411 : 50671711 : 4355
4500 : 50814279 : 4411
4531 : 52492906 : 4500
4580 : 53969522 : 4531
4605 : 54961609 : 4580
4669 : 55249862 : 4605
4726 : 55595232 : 4669
4797 : 55910796 : 4726
4813 : 56275945 : 4797
4875 : 56727181 : 4813
4917 : 57022962 : 4875
4997 : 57766128 : 4917
5035 : 58544186 : 4997
5072 : 59382451 : 5035
