BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 922268 : 0
93 : 1104562 : 21
121 : 2081182 : 93
155 : 2228398 : 121
247 : 3261966 : 155
280 : 3354039 : 247
305 : 4632235 : 280
366 : 4921430 : 305
410 : 5302487 : 366
488 : 5538333 : 410
534 : 5782405 : 488
548 : 5783336 : 488
589 : 7940607 : 534
622 : 8367480 : 589
656 : 9046344 : 622
719 : 9429491 : 656
787 : 9552076 : 719
816 : 9757627 : 787
891 : 10503164 : 816
904 : 11222090 : 891
984 : 13746078 : 904
1030 : 14881547 : 984
1065 : 15012841 : 1030
1151 : 15532055 : 1065
1175 : 16254666 : 1151
1216 : 17016236 : 1175
1258 : 17297211 : 1216
1330 : 18711368 : 1258
1379 : 19139172 : 1330
1414 : 20779859 : 1379
1475 : 22475963 : 1414
1523 : 22588536 : 1475
1573 : 23060252 : 1523
1651 : 23083345 : 1573
1656 : 23162148 : 1651
1710 : 23705336 : 1656
1762 : 24223565 : 1710
1810 : 24414890 : 1762
1888 : 24466626 : 1810
1905 : 24558265 : 1888
1978 : 25095373 : 1905
2021 : 26241251 : 1978
2074 : 26436469 : 2021
2136 : 26756559 : 2074
2198 : 27535833 : 2136
2222 : 27781222 : 2198
2252 : 29230330 : 2222
2330 : 29396188 : 2252
2362 : 29455651 : 2330
2440 : 29665132 : 2362
2486 : 30103141 : 2440
2544 : 31171511 : 2486
2592 : 31408813 : 2544
2632 : 31476163 : 2592
2664 : 32714931 : 2632
2724 : 33287738 : 2664
2795 : 33635528 : 2724
2838 : 34867657 : 2795
2894 : 35188459 : 2838
2938 : 36325937 : 2894
3001 : 37337580 : 2938
3048 : 37807590 : 3001
3074 : 38438111 : 3048
3141 : 38515431 : 3074
3156 : 38661538 : 3141
3230 : 38863302 : 3156
3268 : 39724794 : 3230
3322 : 40119675 : 3268
3352 : 40476140 : 3322
3417 : 40692070 : 3352
3497 : 41852321 : 3417
3511 : 41947124 : 3497
3563 : 43734084 : 3511
3641 : 44318239 : 3563
3687 : 45028218 : 3641
3730 : 45063985 : 3687
3786 : 45670288 : 3730
3846 : 45817138 : 3786
3886 : 46456055 : 3846
3945 : 46470545 : 3886
3963 : 46626764 : 3945
4028 : 46740942 : 3963
4055 : 46846042 : 4028
4141 : 47829176 : 4055
4197 : 48218811 : 4141
4231 : 48670705 : 4197
4266 : 49443674 : 4231
4316 : 49732159 : 4266
4355 : 49945311 : 4316
4411 : 50673291 : 4355
4500 : 50811997 : 4411
4531 : 52493165 : 4500
4580 : 53967413 : 4531
4605 : 54959565 : 4580
4669 : 55248924 : 4605
4726 : 55593076 : 4669
4797 : 55913139 : 4726
4813 : 56277304 : 4797
4875 : 56729648 : 4813
4917 : 57024134 : 4875
4997 : 57763817 : 4917
5035 : 58545424 : 4997
5072 : 59382185 : 5035
