BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 922053 : 0
93 : 1106897 : 21
121 : 2082145 : 93
155 : 2228910 : 121
247 : 3259746 : 155
280 : 3354929 : 247
305 : 4632652 : 280
366 : 4921185 : 305
410 : 5302896 : 366
488 : 5540555 : 410
548 : 5781180 : 488
534 : 5781246 : 488
589 : 7942883 : 534
622 : 8368579 : 589
656 : 9047808 : 622
719 : 9432370 : 656
787 : 9550866 : 719
816 : 9755490 : 787
891 : 10505319 : 816
904 : 11224426 : 891
984 : 13745861 : 904
1030 : 14878961 : 984
1065 : 15011609 : 1030
1151 : 15534319 : 1065
1175 : 16255070 : 1151
1216 : 17015999 : 1175
1258 : 17297717 : 1216
1330 : 18713983 : 1258
1379 : 19139081 : 1330
1414 : 20780827 : 1379
1475 : 22478769 : 1414
1523 : 22588957 : 1475
1573 : 23062258 : 1523
1651 : 23081165 : 1573
1656 : 23159940 : 1651
1710 : 23703092 : 1656
1762 : 24222149 : 1710
1810 : 24413055 : 1762
1888 : 24468788 : 1810
1905 : 24560326 : 1888
1978 : 25095746 : 1905
2021 : 26242954 : 1978
2074 : 26438687 : 2021
2136 : 26755241 : 2074
2198 : 27538020 : 2136
2222 : 27782331 : 2198
2252 : 29231432 : 2222
2330 : 29395026 : 2252
2362 : 29455483 : 2330
2440 : 29663012 : 2362
2486 : 30104888 : 2440
2544 : 31169287 : 2486
2592 : 31411216 : 2544
2632 : 31475590 : 2592
2664 : 32713201 : 2632
2724 : 33287508 : 2664
2795 : 33633213 : 2724
2838 : 34869758 : 2795
2894 : 35186326 : 2838
2938 : 36327988 : 2894
3001 : 37335315 : 2938
3048 : 37809831 : 3001
3074 : 38439235 : 3048
3141 : 38513608 : 3074
3156 : 38659950 : 3141
3230 : 38864299 : 3156
3268 : 39726961 : 3230
3322 : 40120813 : 3268
3352 : 40477254 : 3322
3417 : 40694430 : 3352
3497 : 41850184 : 3417
3511 : 41945287 : 3497
3563 : 43732839 : 3511
3641 : 44320267 : 3563
3687 : 45027129 : 3641
3730 : 45065074 : 3687
3786 : 45668973 : 3730
3846 : 45819412 : 3786
3886 : 46454727 : 3846
3945 : 46472732 : 3886
3963 : 46628872 : 3945
4028 : 46741466 : 3963
4055 : 46846304 : 4028
4141 : 47831392 : 4055
4197 : 48216626 : 4141
4231 : 48671865 : 4197
4266 : 49444145 : 4231
4316 : 49731888 : 4266
4355 : 49944690 : 4316
4411 : 50671707 : 4355
4500 : 50814323 : 4411
4531 : 52492913 : 4500
4580 : 53969504 : 4531
4605 : 54961648 : 4580
4669 : 55249921 : 4605
4726 : 55595284 : 4669
4797 : 55911061 : 4726
4813 : 56275976 : 4797
4875 : 56727348 : 4813
4917 : 57022947 : 4875
4997 : 57766094 : 4917
5035 : 58544191 : 4997
5072 : 59382487 : 5035
