BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 922165 : 0
93 : 1104540 : 21
121 : 2081104 : 93
155 : 2228318 : 121
247 : 3261882 : 155
280 : 3353938 : 247
305 : 4632142 : 280
366 : 4921358 : 305
410 : 5302390 : 366
488 : 5538228 : 410
534 : 5782358 : 488
548 : 5783245 : 488
589 : 7940543 : 534
622 : 8367372 : 589
656 : 9046240 : 622
719 : 9429766 : 656
787 : 9551977 : 719
816 : 9757531 : 787
891 : 10502735 : 816
904 : 11221982 : 891
984 : 13745985 : 904
1030 : 14881440 : 984
1065 : 15012734 : 1030
1151 : 15531950 : 1065
1175 : 16254561 : 1151
1216 : 17016133 : 1175
1258 : 17297136 : 1216
1330 : 18711625 : 1258
1379 : 19139102 : 1330
1414 : 20779766 : 1379
1475 : 22476224 : 1414
1523 : 22588492 : 1475
1573 : 23060149 : 1523
1651 : 23083242 : 1573
1656 : 23162056 : 1651
1710 : 23705224 : 1656
1762 : 24223479 : 1710
1810 : 24414781 : 1762
1888 : 24466521 : 1810
1905 : 24557813 : 1888
1978 : 25095276 : 1905
2021 : 26241183 : 1978
2074 : 26436363 : 2021
2136 : 26756465 : 2074
2198 : 27535732 : 2136
2222 : 27781156 : 2198
2252 : 29230346 : 2222
2330 : 29396134 : 2252
2362 : 29455548 : 2330
2440 : 29665027 : 2362
2486 : 30103045 : 2440
2544 : 31171431 : 2486
2592 : 31408840 : 2544
2632 : 31476055 : 2592
2664 : 32714851 : 2632
2724 : 33287631 : 2664
2795 : 33635445 : 2724
2838 : 34867591 : 2795
2894 : 35188350 : 2838
2938 : 36325861 : 2894
3001 : 37337469 : 2938
3048 : 37807510 : 3001
3074 : 38438006 : 3048
3141 : 38515357 : 3074
3156 : 38661433 : 3141
3230 : 38863198 : 3156
3268 : 39724710 : 3230
3322 : 40119641 : 3268
3352 : 40476048 : 3322
3417 : 40691980 : 3352
3497 : 41852268 : 3417
3511 : 41947024 : 3497
3563 : 43733976 : 3511
3641 : 44317803 : 3563
3687 : 45028133 : 3641
3730 : 45063906 : 3687
3786 : 45670182 : 3730
3846 : 45817098 : 3786
3886 : 46455988 : 3846
3945 : 46470444 : 3886
3963 : 46626695 : 3945
4028 : 46740841 : 3963
4055 : 46845935 : 4028
4141 : 47829106 : 4055
4197 : 48218707 : 4141
4231 : 48670598 : 4197
4266 : 49443620 : 4231
4316 : 49732057 : 4266
4355 : 49945204 : 4316
4411 : 50673185 : 4355
4500 : 50811906 : 4411
4531 : 52493055 : 4500
4580 : 53967305 : 4531
4605 : 54959123 : 4580
4669 : 55248828 : 4605
4726 : 55592975 : 4669
4797 : 55913032 : 4726
4813 : 56277199 : 4797
4875 : 56729549 : 4813
4917 : 57024037 : 4875
4997 : 57763717 : 4917
5035 : 58545367 : 4997
5072 : 59382133 : 5035
