BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 922014 : 0
93 : 1104826 : 21
121 : 2080971 : 93
155 : 2228151 : 121
247 : 3261721 : 155
280 : 3353799 : 247
305 : 4631997 : 280
366 : 4921177 : 305
410 : 5302240 : 366
488 : 5538583 : 410
534 : 5782187 : 488
548 : 5783092 : 488
589 : 7940875 : 534
622 : 8367236 : 589
656 : 9045919 : 622
719 : 9430158 : 656
787 : 9551822 : 719
816 : 9757412 : 787
891 : 10503239 : 816
904 : 11222409 : 891
984 : 13745829 : 904
1030 : 14881298 : 984
1065 : 15012595 : 1030
1151 : 15532304 : 1065
1175 : 16254420 : 1151
1216 : 17016003 : 1175
1258 : 17296969 : 1216
1330 : 18712007 : 1258
1379 : 19138921 : 1330
1414 : 20779609 : 1379
1475 : 22476633 : 1414
1523 : 22588286 : 1475
1573 : 23060286 : 1523
1651 : 23083109 : 1573
1656 : 23161902 : 1651
1710 : 23705148 : 1656
1762 : 24223316 : 1710
1810 : 24414660 : 1762
1888 : 24466694 : 1810
1905 : 24558310 : 1888
1978 : 25095120 : 1905
2021 : 26240860 : 1978
2074 : 26436705 : 2021
2136 : 26756306 : 2074
2198 : 27536069 : 2136
2222 : 27780986 : 2198
2252 : 29230137 : 2222
2330 : 29395975 : 2252
2362 : 29455400 : 2330
2440 : 29664884 : 2362
2486 : 30102770 : 2440
2544 : 31171259 : 2486
2592 : 31409238 : 2544
2632 : 31475964 : 2592
2664 : 32714696 : 2632
2724 : 33287505 : 2664
2795 : 33635303 : 2724
2838 : 34867709 : 2795
2894 : 35188226 : 2838
2938 : 36325977 : 2894
3001 : 37337332 : 2938
3048 : 37807838 : 3001
3074 : 38437803 : 3048
3141 : 38515187 : 3074
3156 : 38661286 : 3141
3230 : 38863062 : 3156
3268 : 39725021 : 3230
3322 : 40119425 : 3268
3352 : 40475914 : 3322
3417 : 40692291 : 3352
3497 : 41852083 : 3417
3511 : 41946888 : 3497
3563 : 43733874 : 3511
3641 : 44318302 : 3563
3687 : 45027969 : 3641
3730 : 45063771 : 3687
3786 : 45670022 : 3730
3846 : 45817493 : 3786
3886 : 46455793 : 3846
3945 : 46470780 : 3886
3963 : 46626800 : 3945
4028 : 46740740 : 3963
4055 : 46845804 : 4028
4141 : 47829362 : 4055
4197 : 48218589 : 4141
4231 : 48670452 : 4197
4266 : 49443488 : 4231
4316 : 49731910 : 4266
4355 : 49945125 : 4316
4411 : 50673078 : 4355
4500 : 50812205 : 4411
4531 : 52492935 : 4500
4580 : 53967453 : 4531
4605 : 54959667 : 4580
4669 : 55248679 : 4605
4726 : 55593334 : 4669
4797 : 55912905 : 4726
4813 : 56277059 : 4797
4875 : 56729462 : 4813
4917 : 57023885 : 4875
4997 : 57764060 : 4917
5035 : 58545185 : 4997
5072 : 59381939 : 5035
