BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 921219 : 0
93 : 1106046 : 21
121 : 2081281 : 93
155 : 2228076 : 121
247 : 3260333 : 155
280 : 3354131 : 247
305 : 4631841 : 280
366 : 4920350 : 305
410 : 5302085 : 366
488 : 5539729 : 410
534 : 5780302 : 488
548 : 5781677 : 488
589 : 7942053 : 534
622 : 8367761 : 589
656 : 9046885 : 622
719 : 9431440 : 656
787 : 9550475 : 719
816 : 9756018 : 787
891 : 10504498 : 816
904 : 11223603 : 891
984 : 13745034 : 904
1030 : 14879949 : 984
1065 : 15011227 : 1030
1151 : 15533517 : 1065
1175 : 16254260 : 1151
1216 : 17015165 : 1175
1258 : 17296916 : 1216
1330 : 18713143 : 1258
1379 : 19138250 : 1330
1414 : 20780010 : 1379
1475 : 22477841 : 1414
1523 : 22588155 : 1475
1573 : 23061443 : 1523
1651 : 23081756 : 1573
1656 : 23160537 : 1651
1710 : 23703647 : 1656
1762 : 24221880 : 1710
1810 : 24413324 : 1762
1888 : 24467954 : 1810
1905 : 24559477 : 1888
1978 : 25094938 : 1905
2021 : 26242142 : 1978
2074 : 26437872 : 2021
2136 : 26754882 : 2074
2198 : 27537217 : 2136
2222 : 27781523 : 2198
2252 : 29230544 : 2222
2330 : 29394078 : 2252
2362 : 29454594 : 2330
2440 : 29663539 : 2362
2486 : 30104058 : 2440
2544 : 31169836 : 2486
2592 : 31410382 : 2544
2632 : 31474753 : 2592
2664 : 32713348 : 2632
2724 : 33286674 : 2664
2795 : 33633870 : 2724
2838 : 34868896 : 2795
2894 : 35186839 : 2838
2938 : 36327177 : 2894
3001 : 37335926 : 2938
3048 : 37809016 : 3001
3074 : 38438349 : 3048
3141 : 38513767 : 3074
3156 : 38659886 : 3141
3230 : 38863464 : 3156
3268 : 39726143 : 3230
3322 : 40120001 : 3268
3352 : 40476426 : 3322
3417 : 40693565 : 3352
3497 : 41850715 : 3417
3511 : 41945466 : 3497
3563 : 43731910 : 3511
3641 : 44319444 : 3563
3687 : 45026699 : 3641
3730 : 45064279 : 3687
3786 : 45668618 : 3730
3846 : 45818608 : 3786
3886 : 46454365 : 3846
3945 : 46471927 : 3886
3963 : 46628020 : 3945
4028 : 46740546 : 3963
4055 : 46845438 : 4028
4141 : 47830564 : 4055
4197 : 48217193 : 4141
4231 : 48670995 : 4197
4266 : 49443287 : 4231
4316 : 49731066 : 4266
4355 : 49943857 : 4316
4411 : 50671662 : 4355
4500 : 50813502 : 4411
4531 : 52492093 : 4500
4580 : 53968694 : 4531
4605 : 54960795 : 4580
4669 : 55249064 : 4605
4726 : 55594465 : 4669
4797 : 55911550 : 4726
4813 : 56275692 : 4797
4875 : 56728005 : 4813
4917 : 57022583 : 4875
4997 : 57765252 : 4917
5035 : 58543282 : 4997
5072 : 59381675 : 5035
