BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 921529 : 0
93 : 1105109 : 21
121 : 2080424 : 93
155 : 2227667 : 121
247 : 3261169 : 155
280 : 3353291 : 247
305 : 4631505 : 280
366 : 4920654 : 305
410 : 5301748 : 366
488 : 5538852 : 410
534 : 5781687 : 488
548 : 5782580 : 488
589 : 7941197 : 534
622 : 8366749 : 589
656 : 9045999 : 622
719 : 9430534 : 656
787 : 9551356 : 719
816 : 9756882 : 787
891 : 10503547 : 816
904 : 11222701 : 891
984 : 13745314 : 904
1030 : 14880830 : 984
1065 : 15012092 : 1030
1151 : 15532654 : 1065
1175 : 16253927 : 1151
1216 : 17015487 : 1175
1258 : 17296503 : 1216
1330 : 18712298 : 1258
1379 : 19138408 : 1330
1414 : 20779131 : 1379
1475 : 22476921 : 1414
1523 : 22587781 : 1475
1573 : 23060598 : 1523
1651 : 23082629 : 1573
1656 : 23161432 : 1651
1710 : 23704565 : 1656
1762 : 24222825 : 1710
1810 : 24414169 : 1762
1888 : 24466981 : 1810
1905 : 24558636 : 1888
1978 : 25094591 : 1905
2021 : 26241305 : 1978
2074 : 26437001 : 2021
2136 : 26755801 : 2074
2198 : 27536365 : 2136
2222 : 27780499 : 2198
2252 : 29229579 : 2222
2330 : 29395459 : 2252
2362 : 29454929 : 2330
2440 : 29664385 : 2362
2486 : 30103171 : 2440
2544 : 31170779 : 2486
2592 : 31409528 : 2544
2632 : 31475436 : 2592
2664 : 32714200 : 2632
2724 : 33287001 : 2664
2795 : 33634773 : 2724
2838 : 34867988 : 2795
2894 : 35187713 : 2838
2938 : 36326324 : 2894
3001 : 37336783 : 2938
3048 : 37808078 : 3001
3074 : 38437444 : 3048
3141 : 38514648 : 3074
3156 : 38660806 : 3141
3230 : 38862552 : 3156
3268 : 39725297 : 3230
3322 : 40118959 : 3268
3352 : 40475402 : 3322
3417 : 40692623 : 3352
3497 : 41851560 : 3417
3511 : 41946329 : 3497
3563 : 43733301 : 3511
3641 : 44318595 : 3563
3687 : 45027485 : 3641
3730 : 45063269 : 3687
3786 : 45669471 : 3730
3846 : 45817750 : 3786
3886 : 46455241 : 3846
3945 : 46471060 : 3886
3963 : 46627117 : 3945
4028 : 46740231 : 3963
4055 : 46845265 : 4028
4141 : 47829690 : 4055
4197 : 48218050 : 4141
4231 : 48669974 : 4197
4266 : 49442951 : 4231
4316 : 49731442 : 4266
4355 : 49944580 : 4316
4411 : 50672571 : 4355
4500 : 50812532 : 4411
4531 : 52492447 : 4500
4580 : 53967796 : 4531
4605 : 54959938 : 4580
4669 : 55248156 : 4605
4726 : 55593594 : 4669
4797 : 55912401 : 4726
4813 : 56276579 : 4797
4875 : 56728905 : 4813
4917 : 57023363 : 4875
4997 : 57764355 : 4917
5035 : 58544657 : 4997
5072 : 59381443 : 5035
