BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 922447 : 0
93 : 1104504 : 21
121 : 2081390 : 93
155 : 2228721 : 121
247 : 3262155 : 155
280 : 3354281 : 247
305 : 4632418 : 280
366 : 4921702 : 305
410 : 5302723 : 366
488 : 5537960 : 410
534 : 5782628 : 488
548 : 5783593 : 488
589 : 7940814 : 534
622 : 8367679 : 589
656 : 9046536 : 622
719 : 9430087 : 656
787 : 9552282 : 719
816 : 9757825 : 787
891 : 10503390 : 816
904 : 11222308 : 891
984 : 13746303 : 904
1030 : 14881753 : 984
1065 : 15013040 : 1030
1151 : 15531750 : 1065
1175 : 16254888 : 1151
1216 : 17016495 : 1175
1258 : 17297451 : 1216
1330 : 18711929 : 1258
1379 : 19139389 : 1330
1414 : 20780072 : 1379
1475 : 22476556 : 1414
1523 : 22588803 : 1475
1573 : 23060498 : 1523
1651 : 23083584 : 1573
1656 : 23162359 : 1651
1710 : 23705580 : 1656
1762 : 24223792 : 1710
1810 : 24415099 : 1762
1888 : 24466877 : 1810
1905 : 24558466 : 1888
1978 : 25095602 : 1905
2021 : 26241499 : 1978
2074 : 26435971 : 2021
2136 : 26756834 : 2074
2198 : 27535400 : 2136
2222 : 27781439 : 2198
2252 : 29230630 : 2222
2330 : 29396459 : 2252
2362 : 29455914 : 2330
2440 : 29665353 : 2362
2486 : 30103345 : 2440
2544 : 31171754 : 2486
2592 : 31409086 : 2544
2632 : 31476348 : 2592
2664 : 32715164 : 2632
2724 : 33288000 : 2664
2795 : 33635852 : 2724
2838 : 34867965 : 2795
2894 : 35188697 : 2838
2938 : 36326166 : 2894
3001 : 37337833 : 2938
3048 : 37807135 : 3001
3074 : 38438370 : 3048
3141 : 38515626 : 3074
3156 : 38661735 : 3141
3230 : 38863493 : 3156
3268 : 39724940 : 3230
3322 : 40119887 : 3268
3352 : 40476463 : 3322
3417 : 40692243 : 3352
3497 : 41852561 : 3417
3511 : 41947325 : 3497
3563 : 43734291 : 3511
3641 : 44318552 : 3563
3687 : 45028426 : 3641
3730 : 45064210 : 3687
3786 : 45670515 : 3730
3846 : 45817084 : 3786
3886 : 46456279 : 3846
3945 : 46470254 : 3886
3963 : 46627011 : 3945
4028 : 46741206 : 3963
4055 : 46846225 : 4028
4141 : 47828695 : 4055
4197 : 48219010 : 4141
4231 : 48670882 : 4197
4266 : 49443992 : 4231
4316 : 49732380 : 4266
4355 : 49945508 : 4316
4411 : 50673497 : 4355
4500 : 50811518 : 4411
4531 : 52493365 : 4500
4580 : 53967682 : 4531
4605 : 54959816 : 4580
4669 : 55249121 : 4605
4726 : 55592990 : 4669
4797 : 55913358 : 4726
4813 : 56277528 : 4797
4875 : 56729841 : 4813
4917 : 57024416 : 4875
4997 : 57763153 : 4917
5035 : 58545660 : 4997
5072 : 59382433 : 5035
